ID,Sentence,Sentence_clean,sentiment
19,The CHMP considers the following measures necessary to address issues related to safety: ,chmp considers following measures necessary address issues related safety,Negative
29,"Although dataset of AFL patients has been updated, data are still considered very limited to reach firm conclusion about safety proflie.",although dataset afl patients updated data still considered limited reach firm conclusion safety proflie,Negative
30,Additional safety data from maintenance study period CT-P10 3.3 and follow-up period should be provided (see RMP).,additional safety data maintenance study period ctp  followup period provided see rmp,Negative
39,"As questions still remain on the long term safety, ongoing open-label extension studies are being undertaken that will provide further data.",questions still remain long term safety ongoing openlabel extension studies undertaken will provide data,Negative
41,"Only 3 pivotal randomized double-blind multicentre placebo controlled studies (Parsons and Mulholland 1987, Mulholland et al 1990 and Parsons et al 1993) among the 6 pivotal studies met their primary endpoint “GRA” and some secondary endpoints such as pain.", pivotal randomized doubleblind multicentre placebo controlled studies parsons mulholland  mulholland et al  parsons et al  among  pivotal studies met primary endpoint gra secondary endpoints pain,Negative
47,"Due to the heparin-like structure of PPS, a weak anticoagulant effect was observed with PPS and patients with risk factors for increased bleeding (undergoing invasive procedures, having underlying coagulopathy or taking anticoagulants) should be carefully evaluated for haemorrhage during the treatment.",due heparinlike structure pps weak anticoagulant effect observed pps patients risk factors increased bleeding undergoing invasive procedures underlying coagulopathy taking anticoagulants carefully evaluated haemorrhage treatment,Negative
58,"More detailed data on injection site reactions, hypersensitivity and anaphylactic reactions were requested in order to allow a thorough assessment of this issue both in subjects with and without ADAs.",detailed data injection site reactions hypersensitivity anaphylactic reactions requested order allow thorough assessment issue subjects without adas,Negative
71,"With regard to immunogenicity, the differences in the AIA response between SARS342434 and Humalog were small and inconsistent.",regard immunogenicity differences aia response sars humalog small inconsistent,Negative
97,"However, precaution is warranted given a small size of safety database, a limited information on long-term toxicity, and a limited data on PK/PD interactions together with indication on potential for worsening toxicity for VEGFRi -mTOR inhibitor combinations in general.",however precaution warranted given small size safety database limited information longterm toxicity limited data pkpd interactions together indication potential worsening toxicity vegfri mtor inhibitor combinations general,Negative
98,"Although toxicity appears to be manageable with the intended combination, an onset of more frequent or severe toxicity may occur in a larger database and/or at longer term.",although toxicity appears manageable intended combination onset frequent severe toxicity may occur larger database andor longer term,Negative
99,Poor tolerability of the combination is manifest with high rates of discontinuations due to AEs and dose modifications.,poor tolerability combination manifest high rates discontinuations due aes dose modifications,Negative
100,"Therefore, further studies need to be conducted in relevant clinical setting in order to provide comprehensive data and to improve tolerability profile of the combination in view of a limited safety database for the combination treatment at intended doses/schedule, related uncertainties and poor tolerability of the combination (high rate of treatment discontinuation and dose modifications).",therefore studies need conducted relevant clinical setting order provide comprehensive data improve tolerability profile combination view limited safety database combination treatment intended dosesschedule related uncertainties poor tolerability combination high rate treatment discontinuation dose modifications,Negative
102,Study 307 is requested to further characterise the safety and tolerability profile of the combination therapy and further contribute to knowledge on PK and PK/PD of lenvatinib and everolimus and their PK and PD interactions.,study  requested characterise safety tolerability profile combination therapy contribute knowledge pk pkpd lenvatinib everolimus pk pd interactions,Negative
105,Studies requested for Lenvima will also provide relevant safety information for this application,studies requested lenvima will provide relevant safety information application,Negative
112,"Based on these data and since relapses in both SPMS and RRMS patients have the same underlying inflammatory pathophysiology, patients with RMS (instead of RRMS) were considered a more suitable target population.",based data relapses spms rrms patients underlying inflammatory pathophysiology patients rms instead rrms considered suitable target population,Negative
124,"Nevertheless, CHMP noted that since the clinical development has been built mainly to promote the use of this dual therapy in first line treatment rather than in retreatment, the limited sample sized MAGELLAN-1 study (without GT3 patients) in DAA TE leaves many uncertainties for the use of this dual therapy in patients failing DAA.",nevertheless chmp noted clinical development built mainly promote use dual therapy first line treatment rather retreatment limited sample sized magellan study without gt patients daa te leaves many uncertainties use dual therapy patients failing daa,Negative
146,Additional safety data from Maintenance Study Period CT-P10 3.3.and Follow-up Period should be provided (see RMP).,additional safety data maintenance study period ctp and followup period provided see rmp,Negative
171,"ACR20 results per visit showed significant differences which may be interpreted as indicating a faster onset of effect for ABP 501, which could question similarity.",acr results per visit showed significant differences may interpreted indicating faster onset effect abp  question similarity,Negative
185,"The current studies do not provide evidence that the treatment effects persist with indefinite length of treatment, neither in infantile nor in later onset SMA",current studies provide evidence treatment effects persist indefinite length treatment neither infantile later onset sma,Negative
186,The CHMP considers the following measures as key to the B/R ratio of the product and necessary to address issues related to efficacy:,chmp considers following measures key br ratio product necessary address issues related efficacy,Negative
187,"PAES: In order to evaluate the long term efficacy and safety of Nusinersen in symptomatic patients with spinal muscular atrophy, Phase 3, open-label extension study (SHINE, CS11)",paes order evaluate long term efficacy safety nusinersen symptomatic patients spinal muscular atrophy phase  openlabel extension study shine cs,Negative
188,the MAH should conduct and submit the results of the ,mah conduct submit results,Negative
189,"• PAES: In order to evaluate the long term efficacy and safety of Nusinersen in pre-symptomatic patients with spinal muscular atrophy, the MAH should conduct and submit the results of the Phase 2, open-label study (NURTURE (SM201))",paes order evaluate long term efficacy safety nusinersen presymptomatic patients spinal muscular atrophy mah conduct submit results phase  openlabel study nurture sm,Negative
207,The FRC is provided in two different pens with two different ratios between insulin glargine and lixisenatide which may increase the risk for medication errors.,frc provided two different pens two different ratios insulin glargine lixisenatide may increase risk medication errors,Negative
217,There is a lack of long-term data beyond 30 weeks with the FRC. ,lack longterm data beyond  weeks frc,Negative
258,"Further, an 8 week course of SOF/VEL/VOX showed an SVR rate of 95% in a DAA-naïve population; however, this did not meet predefined non-inferiority with SOF/VEL for 12 weeks.",further  week course sofvelvox showed svr rate  daanave population however meet predefined noninferiority sofvel  weeks,Negative
265,"There was no general indication of VOX-associated transaminitis, as has been seen with other NS3/4A inhibitors; however, two cases associated with concomitant ethinyl estradiol among a total of 29 objects exposed, which makes co-administration quite questionable.",general indication voxassociated transaminitis seen nsa inhibitors however two cases associated concomitant ethinyl estradiol among total  objects exposed makes coadministration quite questionable,Negative
3,The median OS time in the updated results exceeded 1 year,median os time updated results exceeded  year,Neutral
7,This medicinal product has been authorised under a so-called ‘conditional approval’ scheme,medicinal product authorised socalled conditional approval scheme,Neutral
9,The European Medicines Agency will review new information on this medicinal product at least every year and this SmPC will be updated as necessary,european medicines agency will review new information medicinal product least every year smpc will updated necessary,Neutral
11,"In order to confirm the efficacy for chemotherapy-naïve treated patients, the MAH should submit the final results of study EMR 100070-003 – Part B",order confirm efficacy chemotherapynave treated patients mah submit final results study emr  part b,Neutral
12,The final results of the study should be submitted by 30th January 2020,final results study submitted th january ,Neutral
13,The CHMP considers that additional supportive data on efficacy will be provided also from the following post-authorisation safety study: ,chmp considers additional supportive data efficacy will provided following postauthorisation safety study,Neutral
18,The safety risks associated with immune related adverse reactions are managed through additional risk minimisation activities implemented in the form of educational materials that will inform HCPs and patients on how to identify and properly handle suspected immune related ADRs,safety risks associated immune related adverse reactions managed additional risk minimisation activities implemented form educational materials will inform hcps patients identify properly handle suspected immune related adrs,Neutral
25,The overall safety profile of CT-P10 appeared roughly similar to that of the reference product although the pooled incidences of AEs and SAEs were generally lower for the reference products.,overall safety profile ctp appeared roughly similar reference product although pooled incidences aes saes generally lower reference products,Neutral
27,"Most common reported events were infections, infusion related reactions.",common reported events infections infusion related reactions,Neutral
31,The planned extension studies CT-P10 3.2 (RA) CT-P10 3.3 (AFL) and CT-P10 3.4 (LTBFL) listed in the RMP will provide additional long term safety data.,planned extension studies ctp  ra ctp  afl ctp  ltbfl listed rmp will provide additional long term safety data,Neutral
35,No significant additional benefit was observed with weekly dosing versus Q2W dosing (300 mg s.c) in the overall population.,significant additional benefit observed weekly dosing versus qw dosing  mg sc overall population,Neutral
36,"Therefore, the CHMP endorsed the proposed dose of 300 mg every other week (Q2W) with a loading dose of 600 mg on day 1.",therefore chmp endorsed proposed dose  mg every week qw loading dose  mg day ,Neutral
38,"With regard to TEAE profile, no meaningful qualitative and quantitative differences were seen as to short-term and long-term treatment as well as to the dose regimen.",regard teae profile meaningful qualitative quantitative differences seen shortterm longterm treatment well dose regimen,Neutral
40,The applicant provided six pivotal studies to support this application.,applicant provided six pivotal studies support application,Neutral
42,"Based on the primary meta-analysis conducted by the applicant including the six pivotal studies, the estimated benefit differences reached about 13% (ITT and as reported).",based primary metaanalysis conducted applicant including six pivotal studies estimated benefit differences reached  itt reported,Neutral
43,This benefit difference (PPS versus placebo) reached 17% when excluding 2 pivotal studies (Holm-Bentzen et al 1987 and Nickel et al 2015) with the lowest response rates and with a population less homogeneous than in the four other clinical studies (mixing both broad IC/BPS),benefit difference pps versus placebo reached  excluding  pivotal studies holmbentzen et al  nickel et al  lowest response rates population less homogeneous four clinical studies mixing broad icbps,Neutral
44,"Indeed, this benefit difference was mainly driven by the statistically significant results of the three pivotal studies Parsons et al 1993, Mulholland et al 1990 and Parsons and Mulholland 1987 including patients falling within ESSIC classification 2X to 3C.",indeed benefit difference mainly driven statistically significant results three pivotal studies parsons et al  mulholland et al  parsons mulholland  including patients falling within essic classification x c,Neutral
62,There was no clinical efficacy study performed to support the biosimilarity claim.,clinical efficacy study performed support biosimilarity claim,Neutral
64,"For the purpose of the clinical biosimilarity exercise for biosimilar insulin products, the evaluation of HbA1c is not a sensitive endpoint and therefore efficacy studies evaluating HbA1c are not requested (EMEA/CHMP/BMWP/32775/2005_Rev.",purpose clinical biosimilarity exercise biosimilar insulin products evaluation hbac sensitive endpoint efficacy studies evaluating hbac requested emeachmpbmwprev,Neutral
65,"1).Nevertheless, the applicant has conducted two large efficacy and safety (phase III) non-inferiority studies comparing the test and reference products in order to investigate how PK/PD features of the biosimilar candidate product translate into clinical parameters relevant for the management of patients with Type 1 and 2 DM.",nevertheless applicant conducted two large efficacy safety phase iii noninferiority studies comparing test reference products order investigate pkpd features biosimilar candidate product translate clinical parameters relevant management patients type   dm,Neutral
85,The safety observation is based on a total of 3354 patients exposed to at least 1 dose of sarilumab for a total of 5981.0 patient-years of exposure.,safety observation based total  patients exposed least  dose sarilumab total  patientyears exposure,Neutral
86,"Sarilumab is associated with infections (including serious infections), decrease in ANC and platelet count, and increase in ALT and lipids, all of which are events consistent with the known effect of IL-6 inhibition, and with injection site reactions, consistent with a SC route of administration.",sarilumab associated infections including serious infections decrease anc platelet count increase alt lipids events consistent known effect il inhibition injection site reactions consistent sc route administration,Neutral
103,Study 221 will continue to characterize safety for the combination treatment in patients with non clear cell renal carcinoma.,study  will continue characterize safety combination treatment patients non clear cell renal carcinoma,Neutral
104,"Study 010 will assess in vitro lenvatinib protein binding, determine the unbound drug concentrations in order to define correctly the dose-adjustment in patients with severe hepatic and renal impairment.",study  will assess vitro lenvatinib protein binding determine unbound drug concentrations order define correctly doseadjustment patients severe hepatic renal impairment,Neutral
110,Subgroup analyses suggested a larger effect size in patients with high disease activity.,subgroup analyses suggested larger effect size patients high disease activity,Neutral
115,No clinically relevant added benefit of additional treatment cycles beyond year 2 was evident.,clinically relevant added benefit additional treatment cycles beyond year  evident,Neutral
117,"The main safety issues were related to the risks of prolonged severe lymphopenia, infections including reactivation of latent infections and opportunistic infections as well as malignancies.",main safety issues related risks prolonged severe lymphopenia infections including reactivation latent infections opportunistic infections well malignancies,Neutral
118,"For the latter, uncertainties due to the observed imbalance of cases occurring in patients treated with cladribine compared to placebo as well as the low number of events remained, although supportive analyses did not support a causal association.",latter uncertainties due observed imbalance cases occurring patients treated cladribine compared placebo well low number events remained although supportive analyses support causal association,Neutral
120,Of particular interest this FDC comprises two pangenotypic components with high potency and high genetic barrier.,particular interest fdc comprises two pangenotypic components high potency high genetic barrier,Neutral
122,"As part of the response to CHMP questions throughout the assessment, some clarifications and some additional data from ongoing studies (EXPEDITION-2 notably) were provided by the applicant in support of the efficacy of the product.",part response chmp questions throughout assessment clarifications additional data ongoing studies expedition notably provided applicant support efficacy product,Neutral
126,"While the risk of ALT elevations seems lower as compared to previously authorized NS3/4A, it remains that some situations (namely in case of combination with EE-based regimens) have been identified at increased hepatic risk.",risk alt elevations seems lower compared previously authorized nsa remains situations namely case combination eebased regimens identified increased hepatic risk,Neutral
128,"To support the application, the applicant has submitted one bioequivalence study.",support application applicant submitted one bioequivalence study,Neutral
129,"It was a randomized, blind, 1-way parallel bioequivalence study of nitisinone 10 mg capsule and Orfadin (reference) following a 10 mg dose in healthy subjects under fasting conditions.",randomized blind way parallel bioequivalence study nitisinone  mg capsule orfadin reference following  mg dose healthy subjects fasting conditions,Neutral
131,No additional clinical studies were provided within current application.,additional clinical studies provided within current application,Neutral
132,A clinical overview has been provided and was based on up-to-date and adequate scientific literature.,clinical overview provided based uptodate adequate scientific literature,Neutral
174,The secondary endpoints PASI 75 and sPGA showed point estimates of 7% difference with a wide CI.,secondary endpoints pasi  spga showed point estimates  difference wide ci,Neutral
180,"The difference in magnitude across endpoints is in alignment with the understanding of the pathology of SMA, where deficiency in SMN protein leads to disease progression from events more proximal to the action of SMN such as declines in motor neuron health as measured by CMAP and CHOP INTEND, through those that are more distal, as measured by motor milestones and event-free survival",difference magnitude across endpoints alignment understanding pathology sma deficiency smn protein leads disease progression events proximal action smn declines motor neuron health measured cmap chop intend distal measured motor milestones eventfree survival,Neutral
190,"Along with the needed data on efficacy and safety to be derived from the above studies, their protocols include PK data collections",along needed data efficacy safety derived studies protocols include pk data collections,Neutral
191,"These are being used to collect the required PK data in order to enable the company to make future decisions about whether any dose adjustment, or further investigation in to dose adjustment, is required",used collect required pk data order enable company make future decisions whether dose adjustment investigation dose adjustment required,Neutral
192,CSF data are being collected from both these studies and will be used in the comprehensive update to the Pop PK model,csf data collected studies will used comprehensive update pop pk model,Neutral
193,"Additionally, the following measures will contribute to the better understanding of the efficacy, safety and clinical applicability of the product: ",additionally following measures will contribute better understanding efficacy safety clinical applicability product,Neutral
194,"• EMBRACE (SM202) - Phase 2, randomized, double-blind, sham- procedure controlled study to assess the safety, tolerability, PK, and efficacy in patients who were not eligible to participate in studies CS3b or CS4 ",embrace sm phase  randomized doubleblind sham procedure controlled study assess safety tolerability pk efficacy patients eligible participate studies csb cs,Neutral
195,• Registries initiative - Collaborations with existing disease registries across the globe to capitalize on the available clinical experts and networks and modifying to be able to collect appropriate information and take in to account availability of medicinal product(s),registries initiative collaborations existing disease registries across globe capitalize available clinical experts networks modifying able collect appropriate information take account availability medicinal products,Neutral
196,• Exploring higher doses - The company is requested to explore whether higher doses of nusinersen could show greater efficacy,exploring higher doses company requested explore whether higher doses nusinersen show greater efficacy,Neutral
197,"The safety profile of nusinersen was characterized in subjects with infantile-onset SMA in a randomized controlled study and an open-label study; pre-symptomatic infants with SMA in an open-label study, and children with later-onset SMA in a randomized study and open-label studies",safety profile nusinersen characterized subjects infantileonset sma randomized controlled study openlabel study presymptomatic infants sma openlabel study children lateronset sma randomized study openlabel studies,Neutral
200,"Pre-symptomatic infants treated with nusinersen experienced fewer adverse events compared with symptomatic infants which is most likely due to their healthier baseline condition, which they maintained throughout participation in the study",presymptomatic infants treated nusinersen experienced fewer adverse events compared symptomatic infants likely due healthier baseline condition maintained throughout participation study,Neutral
205,Long-term safety data will be obtained from the planned and ongoing studies.,longterm safety data will obtained planned ongoing studies,Neutral
209,Insulin glargine primarily reduces HbA1c by decreasing the fasting plasma glucose whereas lixisenatide primarily reduces the post-prandial glucose excursion.,insulin glargine primarily reduces hbac decreasing fasting plasma glucose whereas lixisenatide primarily reduces postprandial glucose excursion,Neutral
210,"The major contribution in HbA1c is due to insulin glargine as the treatment difference between the FRC and insulin glargine ranged from 0.3 % to 0.5 %, whereas the treatment difference between the FRC and lixisenatide was 0.8 %.",major contribution hbac due insulin glargine treatment difference frc insulin glargine ranged   whereas treatment difference frc lixisenatide ,Neutral
212,"There was no difference in insulin dose with the FRC compared to monotherapy with insulin glargine in any of the studies, thus there was no insulin “saving” effect with the FRC when the insulin dose in the comparator group was capped at 60 U. ",difference insulin dose frc compared monotherapy insulin glargine studies thus insulin saving effect frc insulin dose comparator group capped  u,Neutral
213,The effect was consistent across studies and across investigated subgroups.,effect consistent across studies across investigated subgroups,Neutral
214,"In the studies, the FRC was always to be taken before breakfast, whereas the proposed SmPC states that Suliqua can be taken prior to any meal.",studies frc always taken breakfast whereas proposed smpc states suliqua taken prior meal,Neutral
215,It is acknowledged that both insulin glargine and lixisenatide may be taken at any time of the day when used in mono-therapy.,acknowledged insulin glargine lixisenatide may taken time day used monotherapy,Neutral
216,"The recommendation has been further supported by data from the lixisenatide file, showing that no statistically significant differences are observed between pre-breakfast or pre-dinner dosing of lixisenatide.",recommendation supported data lixisenatide file showing statistically significant differences observed prebreakfast predinner dosing lixisenatide,Neutral
222,The adverse reaction patterns differed however in the aspect that the FRC group had a lower frequency of subjects with gastrointestinal adverse reactions compared to the lixisenatide group but a higher frequency of subjects with these reactions compared to use with insulin glargine.,adverse reaction patterns differed aspect frc group lower frequency subjects gastrointestinal adverse reactions compared lixisenatide group higher frequency subjects reactions compared use insulin glargine,Neutral
224,"However, it should be noted that concomitant use of SU was not allowed in the present studies with FRC.",however noted concomitant use su allowed present studies frc,Neutral
230,"The separate components of the D/C/F/TAF fixed dose combination are already approved, also for use with specific combination.",separate components dcftaf fixed dose combination already approved use specific combination,Neutral
232,"A non-inferior efficacy of D/C/F/TAF vs DRV+COBI+TVD has been shown in the phase 2 study, although a higher than expected discontinuation rate was observed in the D/C/F/TAF group.",noninferior efficacy dcftaf vs drvcobitvd shown phase  study although higher expected discontinuation rate observed dcftaf group,Neutral
240,"TDI focal score, the third co-primary endpoint, had a clinically relevant improvement with both treatments, but the mean difference between treatments in TDI focal score at week 26 was not statistically significant.",tdi focal score third coprimary endpoint clinically relevant improvement treatments mean difference treatments tdi focal score week  statistically significant,Neutral
247,"For these parameters, CHF 5993 pMDI and Foster pMDI + Tiotropium generally showed a similar effect.",parameters chf  pmdi foster pmdi tiotropium generally showed similar effect,Neutral
250,"The main side effects that have been observed with CHF 5993 are associated with the known ICS, LAMA and LABA effects.",main side effects observed chf  associated known ics lama laba effects,Neutral
259,The addition of VOX appears to increase the barrier to resistance compared to SOF/VEL alone.,addition vox appears increase barrier resistance compared sofvel alone,Neutral
260,Conclusions concerning recommended use are discussed in the B/R section.,conclusions concerning recommended use discussed br section,Neutral
263,"Other potentially related AE’s including decreased appetite, vomiting, muscle spasms and rash.",potentially related aes including decreased appetite vomiting muscle spasms rash,Neutral
